,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p27,2,2,0.086956522,50,3.9634079207920787,3.888980198019802,3.926194059405941,1614,567.699,351.7342007434944,301.41226683968557,1613,257950.25147734422,159.91956074230887,227.45005463035,202.986,125.84376937383757,718.1788099911292,239,3.2017991631799165,2.800552394760294,4.39791811023622,4.394626862507571,4.396272486371896
1,p7,2,2,0.086956522,20,3.68889029535865,3.6131772151898733,3.6510337552742618,2711,673.24,248.3364072298045,188.01250762802587,2710,329796.11874189554,121.69598477560722,187.14802135037544,333.584,123.09372693726937,259.0302129755642,363,2.7347658402203856,3.7782541552405293,3.6946828704199413,3.5150250123134246,3.604853941366683
2,p14,2,1,0.217391304,28,3.429301675977653,3.492846368715084,3.4610740223463687,2234,533.086,238.6239928379588,224.3051071220814,2233,291355.8600614613,130.47732201588056,157.0646007562776,391.157,175.17107030900135,237.5589010635604,253,3.623110671936759,3.977049778426726,3.7494336791360445,3.564784389252546,3.6571090341942956
3,p27,1,1,0.260869565,13,3.9634079207920787,3.888980198019802,3.926194059405941,3568,899.321,252.05184977578475,205.3213181341528,3567,449181.23810306774,125.92689601992367,187.93968819280138,2011.514,563.9231847490888,13649.262083137537,1042,2.913328214971209,3.4456462963246874,4.126827980412317,4.09741629053901,4.112122135475663
4,p32,1,2,0.304347826,21,4.015238568588469,3.822403578528827,3.9188210735586484,1735,597.5,344.38040345821327,252.8754986935552,1734,209846.5179326014,121.01875313298811,171.67139238990248,97.481,56.21741637831603,98.664360877386,252,2.703527777777778,3.6481325194821816,3.7422109358757316,3.6375800588078055,3.689895497341768
5,p12,1,2,0.304347826,17,3.7368842794759822,3.7936179039301305,3.765251091703057,1132,205.727,181.7376325088339,107.55075324788109,1131,128494.93601397326,113.61179134745646,183.14526885714875,459.508,406.28470380194517,693.9355318845084,239,2.7748912133891213,2.9962006355749864,3.810049443996777,3.8662530539887183,3.8381512489927476
6,p25,2,2,0.347826087,39,4.033583501006036,4.339193158953722,4.18638832997988,4788,1565.245,326.90998329156224,250.48782495306708,4787,875934.649058074,182.9819613657978,236.6121303465651,459.428,95.974096511385,147.3124245821303,574,3.3724216027874565,8.276182516539363,4.029822016449698,4.4142766381611205,4.222049327305409
7,p11,2,2,0.347826087,33,4.1061706263498925,3.731254859611231,3.9187127429805617,1152,165.166,143.37326388888889,53.99977070234657,1151,186921.16248532615,162.3989248352095,230.67681171686286,771.717,670.4752389226759,1858.7383109879083,303,3.0902508250825083,4.311739997312931,3.908291701613928,3.5319785995679247,3.7201351505909264
8,p33,2,2,0.347826087,27,3.1472233606557376,2.9810430327868853,3.0641331967213117,2849,570.506,200.24780624780624,136.780670831804,2848,350796.15589782305,123.17280754839292,192.87993138599256,512.2,179.84550561797752,252.7218295974168,288,3.7820868055555557,4.77447174042365,3.1895254842308076,3.047664618192881,3.1185950512118445
9,p2,1,2,0.347826087,19,3.0737190332326287,2.7744501510574016,2.9240845921450154,2581,414.829,160.72413793103448,85.31549198679173,2580,324201.00072172517,125.65930260531984,190.8639490614263,1149.467,445.5298449612403,570.704202557985,415,3.6091060240963855,4.2320066217697185,3.0576025098601654,2.7811262961634995,2.919364403011833
10,p32,2,1,0.347826087,12,4.015238568588469,3.822403578528827,3.9188210735586484,3130,1124.668,359.3188498402556,287.4994939553162,3129,425933.7647686193,136.1245652823967,169.6262990814871,141.422,45.197187599872166,74.20956306568509,423,2.940848699763593,3.6321395168612387,3.7356320064205453,3.675031492776886,3.7053317495987153
11,p23,2,2,0.391304348,58,3.8330865979381445,3.687593814432989,3.7603402061855666,1824,604.093,331.19133771929825,275.4409084241769,1823,248624.04036692056,136.38181040423507,195.84963690808144,168.924,92.66264399341745,311.9018495223867,447,1.6920469798657718,2.6203411409771364,4.015884417930995,3.8167216852611356,3.9163030515960653
12,p3,2,2,0.391304348,50,2.969954732510288,3.0528662551440324,3.0114104938271598,1564,515.632,329.68797953964196,275.84496110704663,1563,211030.46724596963,135.01629382339706,204.98089200574466,112.439,71.93793985924505,110.69164752759278,172,3.6387383720930235,4.090640653313654,3.1564385666666666,3.220063333333333,3.18825095
13,p20,1,2,0.391304348,30,3.428134948096886,3.2167370242214535,3.3224359861591695,468,99.006,211.55128205128204,144.210616326635,467,45009.89231258484,96.38092572287974,139.62920633695308,481.196,1030.3982869379015,11787.222317458798,620,2.1576,4.338534472378068,3.32907832190142,3.1632488435157122,3.2461635827085664
14,p13,2,2,0.391304348,27,4.503000000000001,4.510897795591182,4.50694889779559,5491,1614.999,294.1174649426334,230.48596527455817,5490,936609.9482846955,170.6029049698899,190.7178392930744,477.621,86.9983606557377,153.97954036027335,400,5.19331,6.052766362208999,4.733268426747039,4.650966971927588,4.692117699337315
15,p2,2,1,0.391304348,25,3.0737190332326287,2.7744501510574016,2.9240845921450154,1166,174.485,149.64408233276157,72.27505457837702,1165,178873.1483701691,153.53918315035975,213.5751634427898,924.729,793.7587982832619,2370.5018190042233,370,3.07842972972973,3.193768181041902,2.965709015991367,2.6908480329637983,2.8282785244775823
16,p30,1,2,0.391304348,23,3.342865566037736,3.150554245283019,3.2467099056603774,5093,1506.29,295.75692126448064,217.51743574348362,5092,596143.4939698905,117.07452748819532,179.37740277926875,424.518,83.36959937156324,168.21598392800905,485,3.860674226804124,7.161439394672688,3.655279625953651,3.4325661995073307,3.543922912730491
17,p31,1,1,0.391304348,14,3.2697368421052633,3.0855232198142417,3.177630030959752,4210,681.018,161.76199524940617,80.54274422172418,4209,603219.4192444435,143.3165643251232,206.3107182774612,1955.079,464.49964362081255,735.278896843192,662,3.9344305135951663,5.920389458545162,3.4791343023882475,3.25669233019725,3.367913316292749
18,p4,1,2,0.391304348,12,3.2291742627345843,3.3599785522788204,3.2945764075067023,590,94.984,160.98983050847457,124.08988156957382,589,121734.70408226295,206.6803125335534,249.32167947033528,452.559,768.3514431239389,1130.997744642543,234,2.3224017094017095,2.6486837238217533,3.225820269682471,3.380686776859504,3.3032535232709876
19,p19,2,2,0.434782609,72,3.8977268907563025,3.666111344537815,3.7819191176470586,1847,362.232,196.11911207363292,128.56486741293594,1846,225869.1223992228,122.35597096382601,184.19172175239459,435.727,236.03846153846155,394.9725950283531,241,3.2442821576763485,3.579399864044529,3.8672329960375933,3.7653847463732517,3.816308871205423
