,ID,Ontologies,Visualization,Task_Success,Time_On_Task,Category,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p6,1,2,0.869565217,26,top,3.2985312500000004,3.454789583333333,3.3766604166666667,6752,1355.507,200.75636848341233,133.30242457841027,6751,714182.6458946187,105.78916396009757,175.94632050755712,1263.48,187.15449563027698,258.29928889968886,666,3.901247747747748,5.763015381108197,3.6074967496773582,3.8270156780268625,3.717256213852111
1,p18,1,2,0.739130435,21,top,2.4693193277310925,2.3196050420168066,2.39446218487395,3559,651.412,183.03231244731666,125.57563162952253,3558,524393.2280115472,147.38426869352085,204.92329014644216,964.344,271.035413153457,402.45627464951224,589,2.713365025466893,3.5185833155550816,2.8010127609122963,2.6429005803251067,2.721956670618701
2,p24,2,1,0.739130435,25,top,3.6047515274949085,3.5804052953156824,3.5925784114052957,2522,352.379,139.72204599524187,50.588485104475396,2521,427496.456464462,169.57415964476874,220.24879658781785,1610.727,638.9238397461324,897.5271821009161,557,3.491899461400359,3.686495590892843,3.864159672075439,3.7378598462322654,3.8010097591538523
3,p6,2,1,0.739130435,43,top,3.2985312500000004,3.454789583333333,3.3766604166666667,4297,852.711,198.44333255759832,125.49620363013715,4296,549868.3145815743,127.99541773314112,195.39322840939315,686.603,159.8237895716946,233.59502064273877,410,3.7355439024390242,4.1979194514142035,3.4682268933539415,3.6624442923382645,3.565335592846103
4,p12,2,1,0.695652174,11,top,3.7368842794759822,3.7936179039301305,3.765251091703057,2333,453.578,194.4183454779254,137.4741511564912,2332,280861.81839645666,120.4381725542267,179.76251654920168,520.548,223.21955403087478,318.2487132662727,282,3.4082163120567377,4.1066594670064385,3.800883438784163,3.8329087904681143,3.8168961146261386
5,p35,1,1,0.608695652,9,top,3.805559837728195,3.937056795131846,3.87130831643002,3763,800.892,212.833377624236,151.7625969710135,3762,379906.500623286,100.98524737461085,140.91643594152455,1476.111,392.3740031897927,1488.871060224609,775,2.919966451612903,2.8734256939255096,3.8270922075927447,3.966741039639212,3.896916623615979
6,p10,1,2,0.608695652,17,top,3.95265756302521,4.157123949579832,4.054890756302521,4928,1097.945,222.79728084415584,144.03632336483795,4927,594968.6631801666,120.75678164809553,191.73350599975578,640.565,130.0111629795007,171.30651157100073,549,3.129287795992714,4.308918772733485,3.9598271821838793,4.39994402171279,4.179885601948335
7,p17,2,2,0.608695652,22,top,3.8232124999999995,3.3352500000000003,3.57923125,1347,357.818,265.6406829992576,245.15314692287748,1346,174723.6423298549,129.80954110687586,174.07672147101226,473.116,351.49777117384843,857.2207510205046,312,2.610724358974359,3.0979359928409007,4.144957844146927,3.613000549261929,3.878979196704428
8,p1,1,1,0.608695652,26,top,3.607190860215054,3.5151209677419355,3.5611559139784945,2422,357.453,147.5858794384806,62.34436098132455,2421,334228.4466362502,138.0538813036969,188.54274095066677,1927.822,796.2916150351094,2085.008821564052,983,2.309948118006104,2.115884067072019,3.508403542418772,3.4185353903429605,3.4634694663808663
9,p34,1,2,0.608695652,38,top,3.4018754940711466,3.562814229249012,3.4823448616600787,6902,1502.96,217.75717183425095,146.06360161437266,6901,985287.8258498942,142.77464510214378,210.69268964461904,1419.637,205.71467903202435,1153.5037600814853,1000,2.919105,6.514010645575102,3.5852896619615686,3.8177384988644203,3.7015140804129945
10,p21,2,2,0.565217391,6,top,3.2384911111111108,3.1988688888888888,3.21868,2262,672.829,297.44871794871796,274.2286674121485,2261,323198.09513717116,142.94475680547154,185.1616178649484,251.991,111.45112781954887,181.25833255136945,355,2.5602845070422537,3.2402936796981066,3.4013862770012713,3.35617959291314,3.3787829349572056
11,p15,2,2,0.565217391,13,top,3.938446315789474,3.61662947368421,3.777537894736842,1007,176.76,175.5312810327706,107.23433011547924,1006,136636.4573895667,135.82152822024523,192.14469709994734,340.539,338.5079522862823,608.4893041541742,129,3.790705426356589,4.864457472966379,4.181660099816129,3.8873660800280185,4.034513089922073
12,p23,1,1,0.565217391,13,top,3.8330865979381445,3.687593814432989,3.7603402061855666,8908,2148.624,241.20161652447237,187.068488797946,8907,1045774.9604932669,117.4104592447813,164.84387697207455,1352.222,151.8156506118783,280.10175144591756,1592,2.190618090452261,3.2445700159162687,4.168157652001887,3.9263817946849104,4.047269723343397
13,p19,1,1,0.565217391,14,top,3.8977268907563025,3.666111344537815,3.7819191176470586,11294,2926.768,259.14361607933415,190.5910461553431,11293,1492083.2959064262,132.12461665690483,171.55791907886663,1402.559,124.19720180642877,274.23471170079887,1009,4.277810703666997,5.360424570519999,3.940878003335867,3.7792514568026356,3.860064730069251
14,p7,1,1,0.565217391,16,top,3.68889029535865,3.6131772151898733,3.6510337552742618,2467,559.282,226.70531009323065,151.66480675905296,2466,263107.55628353974,106.69406175326024,144.53006332847886,646.498,262.1646390916464,4374.62073071355,376,3.195226063829787,4.540133720728082,3.721660634637441,3.5263357121617602,3.6239981733996007
15,p18,2,1,0.565217391,27,top,2.4693193277310925,2.3196050420168066,2.39446218487395,2485,443.866,178.61810865191146,126.7291108875177,2484,439638.3117108061,176.98804819275608,233.72428543631648,799.377,321.81038647342996,471.1474932625486,439,2.819396355353075,2.5645930966177786,2.8549349821021806,2.6615970929601906,2.758266037531186
16,p24,1,2,0.565217391,32,top,3.6047515274949085,3.5804052953156824,3.5925784114052957,1834,258.91,141.1723009814613,52.242727134036635,1833,279982.2687684589,152.74537303243804,217.07247787781856,1217.362,664.1363884342608,1283.7464753787756,628,2.342235668789809,3.688548843321855,3.881970594683074,3.795897943673911,3.8389342691784933
17,p25,1,1,0.565217391,34,top,4.033583501006036,4.339193158953722,4.18638832997988,5772,1615.332,279.85654885654884,216.38769429904698,5771,811677.1499221341,140.64757406379036,169.8548518596087,768.854,133.22717033443078,322.2584216522017,1112,2.1287643884892087,3.0512340865931464,3.6752331199241217,4.334815312110973,4.005024216017547
18,p34,2,1,0.565217391,49,top,3.4018754940711466,3.562814229249012,3.4823448616600787,5707,1140.145,199.7800946206413,131.63813199481243,5706,917590.0682903096,160.81143853668237,209.73511700318684,1163.235,203.86172450052575,595.5311447920245,654,3.512018348623853,5.262839982038103,3.575847279382667,3.792294420261179,3.6840708498219232
19,p15,1,1,0.52173913,9,top,3.938446315789474,3.61662947368421,3.777537894736842,1158,188.193,162.51554404145077,84.64592591847338,1157,138931.11051662732,120.0787472053823,187.82634644750735,595.33,514.5462402765774,1184.917694853942,196,3.920010204081633,4.404056774349102,4.1945121612650125,3.936280010863661,4.065396086064337
0,p27,2,2,0.086956522,50,bottom,3.9634079207920787,3.888980198019802,3.926194059405941,1614,567.699,351.7342007434944,301.41226683968557,1613,257950.25147734422,159.91956074230887,227.45005463035,202.986,125.84376937383757,718.1788099911292,239,3.2017991631799165,2.800552394760294,4.39791811023622,4.394626862507571,4.396272486371896
1,p7,2,2,0.086956522,20,bottom,3.68889029535865,3.6131772151898733,3.6510337552742618,2711,673.24,248.3364072298045,188.01250762802587,2710,329796.11874189554,121.69598477560722,187.14802135037544,333.584,123.09372693726937,259.0302129755642,363,2.7347658402203856,3.7782541552405293,3.6946828704199413,3.5150250123134246,3.604853941366683
2,p14,2,1,0.217391304,28,bottom,3.429301675977653,3.492846368715084,3.4610740223463687,2234,533.086,238.6239928379588,224.3051071220814,2233,291355.8600614613,130.47732201588056,157.0646007562776,391.157,175.17107030900135,237.5589010635604,253,3.623110671936759,3.977049778426726,3.7494336791360445,3.564784389252546,3.6571090341942956
3,p27,1,1,0.260869565,13,bottom,3.9634079207920787,3.888980198019802,3.926194059405941,3568,899.321,252.05184977578475,205.3213181341528,3567,449181.23810306774,125.92689601992367,187.93968819280138,2011.514,563.9231847490888,13649.262083137537,1042,2.913328214971209,3.4456462963246874,4.126827980412317,4.09741629053901,4.112122135475663
4,p32,1,2,0.304347826,21,bottom,4.015238568588469,3.822403578528827,3.9188210735586484,1735,597.5,344.38040345821327,252.8754986935552,1734,209846.5179326014,121.01875313298811,171.67139238990248,97.481,56.21741637831603,98.664360877386,252,2.703527777777778,3.6481325194821816,3.7422109358757316,3.6375800588078055,3.689895497341768
5,p12,1,2,0.304347826,17,bottom,3.7368842794759822,3.7936179039301305,3.765251091703057,1132,205.727,181.7376325088339,107.55075324788109,1131,128494.93601397326,113.61179134745646,183.14526885714875,459.508,406.28470380194517,693.9355318845084,239,2.7748912133891213,2.9962006355749864,3.810049443996777,3.8662530539887183,3.8381512489927476
6,p25,2,2,0.347826087,39,bottom,4.033583501006036,4.339193158953722,4.18638832997988,4788,1565.245,326.90998329156224,250.48782495306708,4787,875934.649058074,182.9819613657978,236.6121303465651,459.428,95.974096511385,147.3124245821303,574,3.3724216027874565,8.276182516539363,4.029822016449698,4.4142766381611205,4.222049327305409
7,p11,2,2,0.347826087,33,bottom,4.1061706263498925,3.731254859611231,3.9187127429805617,1152,165.166,143.37326388888889,53.99977070234657,1151,186921.16248532615,162.3989248352095,230.67681171686286,771.717,670.4752389226759,1858.7383109879083,303,3.0902508250825083,4.311739997312931,3.908291701613928,3.5319785995679247,3.7201351505909264
8,p33,2,2,0.347826087,27,bottom,3.1472233606557376,2.9810430327868853,3.0641331967213117,2849,570.506,200.24780624780624,136.780670831804,2848,350796.15589782305,123.17280754839292,192.87993138599256,512.2,179.84550561797752,252.7218295974168,288,3.7820868055555557,4.77447174042365,3.1895254842308076,3.047664618192881,3.1185950512118445
9,p2,1,2,0.347826087,19,bottom,3.0737190332326287,2.7744501510574016,2.9240845921450154,2581,414.829,160.72413793103448,85.31549198679173,2580,324201.00072172517,125.65930260531984,190.8639490614263,1149.467,445.5298449612403,570.704202557985,415,3.6091060240963855,4.2320066217697185,3.0576025098601654,2.7811262961634995,2.919364403011833
10,p32,2,1,0.347826087,12,bottom,4.015238568588469,3.822403578528827,3.9188210735586484,3130,1124.668,359.3188498402556,287.4994939553162,3129,425933.7647686193,136.1245652823967,169.6262990814871,141.422,45.197187599872166,74.20956306568509,423,2.940848699763593,3.6321395168612387,3.7356320064205453,3.675031492776886,3.7053317495987153
11,p23,2,2,0.391304348,58,bottom,3.8330865979381445,3.687593814432989,3.7603402061855666,1824,604.093,331.19133771929825,275.4409084241769,1823,248624.04036692056,136.38181040423507,195.84963690808144,168.924,92.66264399341745,311.9018495223867,447,1.6920469798657718,2.6203411409771364,4.015884417930995,3.8167216852611356,3.9163030515960653
12,p3,2,2,0.391304348,50,bottom,2.969954732510288,3.0528662551440324,3.0114104938271598,1564,515.632,329.68797953964196,275.84496110704663,1563,211030.46724596963,135.01629382339706,204.98089200574466,112.439,71.93793985924505,110.69164752759278,172,3.6387383720930235,4.090640653313654,3.1564385666666666,3.220063333333333,3.18825095
13,p20,1,2,0.391304348,30,bottom,3.428134948096886,3.2167370242214535,3.3224359861591695,468,99.006,211.55128205128204,144.210616326635,467,45009.89231258484,96.38092572287974,139.62920633695308,481.196,1030.3982869379015,11787.222317458798,620,2.1576,4.338534472378068,3.32907832190142,3.1632488435157122,3.2461635827085664
14,p13,2,2,0.391304348,27,bottom,4.503000000000001,4.510897795591182,4.50694889779559,5491,1614.999,294.1174649426334,230.48596527455817,5490,936609.9482846955,170.6029049698899,190.7178392930744,477.621,86.9983606557377,153.97954036027335,400,5.19331,6.052766362208999,4.733268426747039,4.650966971927588,4.692117699337315
15,p2,2,1,0.391304348,25,bottom,3.0737190332326287,2.7744501510574016,2.9240845921450154,1166,174.485,149.64408233276157,72.27505457837702,1165,178873.1483701691,153.53918315035975,213.5751634427898,924.729,793.7587982832619,2370.5018190042233,370,3.07842972972973,3.193768181041902,2.965709015991367,2.6908480329637983,2.8282785244775823
16,p30,1,2,0.391304348,23,bottom,3.342865566037736,3.150554245283019,3.2467099056603774,5093,1506.29,295.75692126448064,217.51743574348362,5092,596143.4939698905,117.07452748819532,179.37740277926875,424.518,83.36959937156324,168.21598392800905,485,3.860674226804124,7.161439394672688,3.655279625953651,3.4325661995073307,3.543922912730491
17,p31,1,1,0.391304348,14,bottom,3.2697368421052633,3.0855232198142417,3.177630030959752,4210,681.018,161.76199524940617,80.54274422172418,4209,603219.4192444435,143.3165643251232,206.3107182774612,1955.079,464.49964362081255,735.278896843192,662,3.9344305135951663,5.920389458545162,3.4791343023882475,3.25669233019725,3.367913316292749
18,p4,1,2,0.391304348,12,bottom,3.2291742627345843,3.3599785522788204,3.2945764075067023,590,94.984,160.98983050847457,124.08988156957382,589,121734.70408226295,206.6803125335534,249.32167947033528,452.559,768.3514431239389,1130.997744642543,234,2.3224017094017095,2.6486837238217533,3.225820269682471,3.380686776859504,3.3032535232709876
19,p19,2,2,0.434782609,72,bottom,3.8977268907563025,3.666111344537815,3.7819191176470586,1847,362.232,196.11911207363292,128.56486741293594,1846,225869.1223992228,122.35597096382601,184.19172175239459,435.727,236.03846153846155,394.9725950283531,241,3.2442821576763485,3.579399864044529,3.8672329960375933,3.7653847463732517,3.816308871205423
